ServiceName,GeneratedLink,Description,Procedures,title,ServiceTime,ServiceLocation,ServiceContact,SDGoals
Issue Graduation Degree Certificate– Digital PDF,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Issue-Graduation-Degree-Certificate--Digital-PDF,"Issuing a graduation degree certificate – Digital ""PDF"" upon the alumni's request","1. Click Login
2. Use your ZU ID and password
3. Click Start
4. In case you have a comment, please write it in the comment box
5. Submit
6. Admissions & Registration Department will issue the digital certificate
7. Admissions & Registration Department will send you an email with digital document
",Issue Graduation Degree Certificate– Digital PDF,"•	The average time for application submission: 10 minutes   •	The average time to issue the certificate:  5 working days","•	Admissions & Registration Department at Zayed University - Abu Dhabi Campus
•	Admissions & Registration Department at Zayed University - Dubai Campus
",Admissions & Registration Department: Abu Dhabi: RegistrarAuh[@]zu.ac.ae Male Campus 02-5993659 / Female Campus 02-5993773 - Dubai: RegistrarDxb[@]zu.ac.ae 04-4021444,"Goal 11: Make cities inclusive, safe, resilient and sustainable.
Goal 12: Ensure sustainable consumption and production patterns.
Several sustainable development goals are embedded within the services of Registrar’s Office, ensure a quality education by providing quality services. This includes streaming our services to our students to allow them to have peace of mind and focus on their education and personal development than be burdened by administrative paperwork and making inconvenient trips to the campus. Course registration as well as requests for enrolment confirmation and attestation certificates have become web-based services significantly reducing paper waste. This in turn reduces our carbon footprint and helps mitigate the effects of climate change, and the greenhouse gas emissions associated with visiting the campus is another added environmental benefit. Together these benefits contribute to the responsible consumption and production within our institution while providing a high-quality education, and simultaneously prompting sustainable cities and communities.  
ا

"
Issuing To Whom It May Concern Certificate Regarding not receiving Financial Aid-Digital PDF,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Issuing-To-Whom-It-May-Concern-Certificate-Regarding-not-receiving-Financial-Aid-Digital-PDF,Issuing “To Whom It May Concern” digital certificate regarding not receiving Financial Aid upon student’s request to certify he/she is not receiving Financial Aid from the university.,"1. Click Login
2. Use your ZU ID and password
3. Click Start
4. Please write the name of Organization that requested the certificate in the comment box.
5. Submit
6. Student Support Unit will issue the certificate.
7. Student Support Unit will send you an email with the certificate attached as a file.
",Issuing To Whom It May Concern Certificate Regarding not receiving Financial Aid-Digital PDF,The average time for application submission: 5 minutes /The average time to issue the digital document: 2 working days,e-Service,Submit your inquiries to: https://fa.zu.ac.ae/Enquiries/EnquirySurvey?f=1,Financial aid services provided by Zayed University ensures inclusivity and equitable quality education and ensure lifelong learning opportunities for students who come from low-income family.
IT Equipment Request,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/IT-Equipment-Request,"Request for additional IT equipment (Laptops, Monitors, etc) for more than 3 business days.","Fill the details on IT Equipment Request form available on zuportal http://zuportal.zu.ac.ae under E-Forms section and fill following details.
•	Period for which the equipment is needed. (Maximum period one year from the start date.)
•	Mention items needed (Laptop, Monitors, etc)
•	Provide clear purpose for the request. 
",IT Equipment Request,"As per defined SLA, currently Requests are delivered with SLA of 72 Business Hours.",Information Technology Department,IT.ServiceDesk@zu.ac.ae  or http://sanad.zu.ac.ae,nan
Job Advertisement,https://eservices.zu.ac.ae/main/Services/Servicecard/Organizations/Job-Advertisement,Employers can post jobs to students and graduates though campus announcements and Career Focus Portal.,"1. Login 
2. If you registered, log in with username and password 
3. If not registered, please register
4. Fill the job advertisement form under “Used form section”
5. Start the service
6. Attach job advertisement form 
7. Submit
8. Students Career Office will review the job advertisement form
9. Job advertisement is advertised to students/graduates
10. Companies to update the Career Service Unit on the hiring process within 48 hours of interview",Job Advertisement,One week from the job posting,"Zayed University - Dubai Campus, Zayed University -Abu Dhabi Campus",Hessa AlMuhairy - 04-4021445,nan
Library - Holding a book,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Library---Holding-a-book,"Reserving a book that is currently checked out or on the shelf at another branch library. This book will be sent to the branch of your choice to be picked up. 
1.	Login to your account using ZU credentials
2.	Search for the item you want to request.
3.	Click on the title to view item detail.
4.	Select the place hold button.
5.	The Place Hold Request form appears.
6.	Select the copy.
7.	Select your pick-up location 
8.	Click Submit to complete the request.
You will get an email when the item is ready for pick-up.","1.	Login to your account using ZU credentials
2.	Search for the item you want to request.
3.	Click on the title to view item detail.
4.	Select the place hold button.
5.	The Place Hold Request form appears.
6.	Select the copy.
7.	Select your pick-up location 
8.	Click Submit to complete the request.
You will get an email when the item is ready for pick-up.",Library - Holding a book,Immediate ,https://www.zu.ac.ae/main/en/library/services.aspx,library@zu.ac.ae,"Goal 4: Quality education
Zayed University Library provides access to top-notch information through books and research databases. It fosters physical and online learning environments that are student-centered, authentic, cooperative, engaging, and supported by an extended range of high-quality resources, facilities and technologies. Through using the e-resources, students have access to quality learning material 24/7, and 365 days. This accords them to develop knowledge which enhances their individual transformation, that of academic communities, and the nation at large.
"
Library - Remote Access,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Library---Remote-Access,"Access our Electronic Resources off-campus via EZProxy
The Zayed University Library has implemented EZProxy to provide an easier way of accessing the library's electronic resources off-campus.
1.	On the ZU Library Homepage, Type in Your Keywords in the Search Box
2.	After typing your keywords, you will be directed to the search results page. 
3.	Click the Full-Text Online link
4.	Once you click the Full-Text Online link, you will be prompted to login through EZProxy. 
5.	Use your ZU username and password to continue.
6.	Congratulations! You now have access to the e-Resource!
7.	You can now continue and use all online resources including databases to find articles
","1.	On the ZU Library Homepage, Type in Your Keywords in the Search Box
2.	After typing your keywords, you will be directed to the search results page. 
3.	Click the Full-Text Online link
4.	Once you click the Full-Text Online link, you will be prompted to login through EZProxy. 
5.	Use your ZU username and password to continue.
6.	Congratulations! You now have access to the e-Resource!
7.	You can now continue and use all online resources including databases to find articles",Library - Remote Access,Immediate ,"https://www.zu.ac.ae/main/en/library/index.aspx
",library@zu.ac.ae,"Goal 4: Quality education
Zayed University Library provides access to top-notch information through books and research databases. It fosters physical and online learning environments that are student-centered, authentic, cooperative, engaging, and supported by an extended range of high-quality resources, facilities and technologies. Through using the e-resources, students have access to quality learning material 24/7, and 365 days. This accords them to develop knowledge which enhances their individual transformation, that of academic communities, and the nation at large.
"
Library - Renewing a book,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Library---Renewing-a-book,"Renewing your checked out library items.
1.	Login to your account using ZU credentials
2.	The system shows all your checked-out items.
3.	Click Renew button against the item you want to renew
The system shows the new due date. You will also get an email confirmation regarding this.","1.	Login to your account using ZU credentials
2.	The system shows all your checked-out items.
3.	Click Renew button against the item you want to renew
The system shows the new due date. You will also get an email confirmation regarding this.",Library - Renewing a book,Immediate ,https://zu.account.worldcat.org/account,library@zu.ac.ae,"Goal 4: Quality education
Zayed University Library provides access to top-notch information through books and research databases. It fosters physical and online learning environments that are student-centered, authentic, cooperative, engaging, and supported by an extended range of high-quality resources, facilities and technologies. Through using the e-resources, students have access to quality learning material 24/7, and 365 days. This accords them to develop knowledge which enhances their individual transformation, that of academic communities, and the nation at large.

"
Lost and Found Service,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Lost-and-Found-Service,"Report & Log all lost items
","Student or faculty/staff log in lost & found web, then report their missing item.
CPDS log in lost & found web, then log all lost & found items",Lost and Found Service,nan,CPDO office,Lost_and_found[@]zu.ac.ae.,nan
Master Programs - Attestation Letter in Arabic,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Master-Programs---Attestation-Letter-in-Arabic,Master Programs - Attestation Letter in Arabic,"•	Master students must fill up the e-service form
•	Master students must have a graduate status (MG)
•	Graduate Registrar Office check the financial status of the master student with finance department.
•	If the financial status is cleared, the transcript will be issued and sent to master students to their ZU email.
•	If the financial status is not cleared, the master student will be notified to clear the finances in order to proceed with the request. 
•	If there is a library hold, Graduate Registrar Office requests the master student to clear the hold in order to proceed with the request. 
•	Master students must notify the Graduate Registrar Office once they clear their accounts
",Master Programs - Attestation Letter in Arabic,2 Working Days,Graduate Registrar Office - Abu Dhabi Khalifa City Campus - MF1 Building - Second floor,Kalthoum Al Marzouqi - Email Kalthoum.AlMarzouqi@zu.ac.ae>- 025993562,nan
Master Programs - To Whom It May Concern Letter - Digital PDF,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Master-Programs---To-Whom-It-May-Concern-Letter---Digital-PDF,Master Programs - To Whom It May Concern Letter ,"•	Master students must fill up the e-service form
-	Name:
-	Student ID Number:
-	Program Name:
-	Cohort Number:
-	Message:
-	The message should include information about the letter layout.

•	Master students must have an active status (AS) and should be Registered at the time of requesting the letter
•	The request will go to Finance Department for financial verification  
•	The request is approved by Finance will move to Graduate Registrar to check the registration status and then issue the letter within 2 working days from receiving the approval from Finance 
•	If the financial status is not cleared, student will be informed to pay the outstanding amount, it the payment is not done within 2 working days the request will be rejected by Finance Department 
",Master Programs - To Whom It May Concern Letter - Digital PDF,2 Working Days from Finance Department approval,Graduate Registrar Office - Abu Dhabi Khalifa City Campus - MF1 Building - Second floor,25993331,nan
Master Students - Academic Official Transcript,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Master-Students---Academic-Official-Transcript,Issuing an academic transcript upon Master student request,"•	Click Start (If you are already logged in).
•	If you are not logged in, please click Login.
•	Write your Program Name, Cohort Number on the comment box.
•	Submit 
•	Then, please check your email for the payment link

Payment Procedures:
	Your request is now issued against a fee of AED 52.5. Fee is inclusive of Value Added Tax(VAT)
	Payments can be made directly online, through the link received in your email
	Payment can be made also in either Dubai or Abu Dhabi Campuses; we accept payment on cash, credit cards and cheques
	Please review the eService details, check the Terms and Condition, and click Pay to proceed.
•	If the financial status is not cleared, the master student will be notified to clear the finances in order to proceed with the request. 
•	Once the request is approved by Finance, Then the transcript will be issued within 3 working days.
•	Scanned copy with be sent through the e-service and original document will be ready for collection.
",Master Students - Academic Official Transcript,2  Working Days,Graduate Registrar Office - Abu Dhabi Khalifa City Campus - MF1 building - Second floor,Wafa Alwahedi - 025993112 - wafa.alwahedi[@]zu.ac.ae.,nan
Master Students - Course Self Registration - English Version,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Master-Students---Course-Self-Registration---English-Version,Course Self-Registration - English Version,"Click Login 
• Enter your ZU ID # and password to login. 
• Click Start. 
• Write your Full Name as per passport, ZU Student ID Number, Program Name, Course Registration Fee (as per the Schedule of Graduate Tuition Payment Plans) Receipt # on the comment box. 
• Select the course(s)for self-registration.
• If your financial status is cleared, the Graduate Registrar notifies you by using your ZU email address. 
• If your financial status is not cleared, the Graduate Registrar's Office notifies you by using your ZU email address to clear your finances in order to proceed with your request.
",Master Students - Course Self Registration - English Version,Course self registration should be done before the start of the course,Zayed University Abu Dhabi Campus,"Kalthoum AlMarzouqi, Acting Graduate Registrar, Tel: +971-2-599-3562 Email: Kalthoum.AlMarzouqi[@]zu.ac.ae.",nan
Master Students - Defer Admission - English Version ,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Master-Students---Defer-Admission---English-Version-,Request to Defer Graduate Program Admission - English Version,"Click Login. 
•	Enter your ZU ID # and password to login. 
•	Click Start. 
•	Write your Full Name as per passport, ZU Student ID Number, Program Name, Academic Year, Admission Deferment Fee (5,000 AED) Receipt # on the comment box. 
•	The Graduate Registrar’s Office checks your financial status with the Finance Department. 
•	If your financial status is cleared, the Graduate Registrar’s Office defers your admission and notifies you of your deferred admission status by using your ZU email address.
•	If your financial status is not cleared, the Graduate Registrar's Office notifies you by using your ZU email address to clear your finances in order to proceed with your request. 
•	You must notify the Graduate Registrar’s Office once you have cleared your accounts.
",Master Students - Defer Admission - English Version ,7 (Seven) Calendar Days,Zayed University Abu Dhabi Campus,"Kalthoum AlMarzouqi, Senior Graduate Programs Admissions Officer, Tel: +971-2-599-3562 Email: cgs.admissions[@]zu.ac.ae.. ",nan
Master Students - Graduate Student Handbook ,https://eservices.zu.ac.ae/main/Services/Servicecard/Postgraduate/Master-Students---Graduate-Student-Handbook-,"Master Programs - Graduate Student Handbook
","•	Master students must fill up the e-service form
•	Master students must have a graduate status (MG)
•	Graduate Registrar Office check the financial status of the master student with finance department.
•	If the financial status is cleared, the transcript will be issued and sent to master students to their ZU email.
•	If the financial status is not cleared, the master student will be notified to clear the finances in order to proceed with the request. 
•	If there is a library hold, Graduate Registrar Office requests the master student to clear the hold in order to proceed with the request. 
•	Master students must notify the Graduate Registrar Office once they clear their accounts
",Master Students - Graduate Student Handbook ,5 Working Days,"Graduate Registrar Office - Abu Dhabi Khalifa City Campus - MF1 Building - Second floor	",Kalthoum Al Marzouqi - Email Kalthoum.AlMarzouqi@zu.ac.ae>- 025993562,nan
Master Students - Letter of Examination Leave,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Master-Students---Letter-of-Examination-Leave,Master Programs - Letter of Examination Leave,"Master students must fill up the e-service form
•	Graduate Registrar Office check the financial status of the master student with Finance Department.
•	If the financial status is cleared, the transcript will be issued and sent to master students to their ZU email.
•	If the financial status is not cleared, the master student will be notified to clear the finances in order to proceed with the request. 
•	If there is a library hold, Graduate Registrar Office requests the master student to clear the hold in order to proceed with the request. 
•	Master students must notify the Graduate Registrar Office once they clear their accounts
Student must attach the course syllabus or the exam announcement to the request as support document  
",Master Students - Letter of Examination Leave,2 Working Days ,Graduate Registrar Office - Abu Dhabi Khalifa City Campus - MF1 building - Second floor,Graduate Registrar AUH,nan
Master Students – Replacement Official Diploma - Arabic version,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Master-Students---Replacement-Official-Diploma---Arabic-version,Issuing replacement Diploma - Arabic version upon Master student request,"•         Click Login
•         Enter your ZU ID and password to login
•         Click Start
•         Write your Full Name as per passport (please attach your passport copy) , ZU Student ID        Number, Program/ Major 
Graduation Date, Replacement Diploma Fee (157.5)) Receipt # on the comment box.
•         Graduate Registrar Office check the financial status of the master student with Finance Department.
•         If the financial status is cleared, the replacement Diploma will be issued and sent to master students to their ZU email.
•         If the financial status is not cleared, the master student will be notified to clear the finances in order to proceed with the request. 
•         Master students must notify the Graduate Registrar Office once they clear their accounts
",Master Students – Replacement Official Diploma - Arabic version,3 WD,Graduate Registrar Office - Abu Dhabi Khalifa City Campus - MF1 building - Second floor,Graduate Registrar Office - Abu Dhabi Khalifa City Campus - MF1 building - Second floor - 025993331,nan
Master Students – Replacement Official Diploma - English version,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Master-Students---Replacement-Official-Diploma---English-version,Issuing replacement Diploma - English version upon Master student request,"Click Login
•         Enter your ZU ID and password to login
•         Click Start
•         Write your Full Name as per passport (please attach your passport copy) , ZU Student ID        Number, Program/ Major, Reasons of Diploma Replacement (Damaged/Lost/Mistake), 
Graduation Date, Replacement Diploma Fee (150AED) Receipt # on the comment box.
•         Graduate Registrar Office check the financial status of the master student with Finance Department.
•         If the financial status is cleared, the replacement Diploma will be issued and sent to master students to their ZU email.
•         If the financial status is not cleared, the master student will be notified to clear the finances in order to proceed with the request. 
•         Master students must notify the Graduate Registrar Office once they clear their accounts
",Master Students – Replacement Official Diploma - English version,3 WD,Graduate Registrar Office - Abu Dhabi Khalifa City Campus - MF1 building - Second floor,Graduate Registrar Office - Abu Dhabi Khalifa City Campus - MF1 building - Second floor - 025993562,nan
Mentoring Tool ,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Mentoring-Tool-,"* The program is designed to give UAE employees on grades (3, 4s, 4,5s) the opportunity to gain knowledge and guidance from Mentors of different backgrounds and experiences. 
* Mentorship provides a safe learning environment and focuses on the professional development of the mentee. 
* The duration of the mentoring sessions can last from 3 to 6 months. The aim of the mentoring sessions can be focused on the overall career development or can be project based.
","As a Mentee:
- You will be prompted to enter a user name and password, enter your ZU ID and Login Password.
- You need to select Mentor from the list provided, you will be able to review the Mentor’s profile 
- Write a comment to specify mentoring area
- Click on Submit
- Once you submit, you will receive notification emails as the process goes until end of the mentoring duration.
- At the end of the mentoring duration, notification will be sent to fill the evaluation form.
- log in and press on the evaluation form, then fill, save and attach the form.
- press Submit.",Mentoring Tool ,nan,HR Department,HRSupport@zu.ac.ae,nan
Moving to Cash Housing Request ,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Moving-to-Cash-Housing-Request-,"* Applying for Cash Housing 
* Applying to notify Zayed University of any change in the family situation or if the spouse commences work with a Government organization, which will impact the cash housing benefit.","* Fill in the E-form
* Attach the required documents
* Tick the cash housing advance option
* press submit
",Moving to Cash Housing Request ,nan,HR Department,ahmad.alnaji[@]zu.ac.ae. ,nan
ONCE Program,https://eservices.zu.ac.ae/main/Services/Servicecard/Undergraduate/ONCE-Program,On Campus Employment (ONCE) Program for Zayed University students on their free time.,"1. Click start
2. You will be redirected to ONCE Portal
3. Login with your ZU ID and password
4. Check the ONCE Portal for vacancies available
5. Select the Job advertised
6. Upload your CV and apply for the job",ONCE Program,One week after receiving the job post from the department.,Student Careers Office - Zayed University Dubai & Zayed University  Abu Dhabi ,Email: Naseema.Almarzooqi@zu.ac.ae /  04-402-1659,nan
Online Printing System ,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Online-Printing-System-,All students and employees can send their printing request in advance and then they can collect their request at business center. The payment can be made through staff/student ZU ID card.,They need to log in from Intranet and then go to e-services.,Online Printing System ,nan,Administration building – Level 1 – Campus services  ,dxb_BusCenter[@]zu.ac.ae./    -     Auh_BusCenter[@]zu.ac.ae. ,nan
Provide Technical Services,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Provide-Technical-Services,Provide technical support to students,"1. Click Start
2. You will be redirect to service desk website 
3. Login with your ZU ID & password.
4. Click on “Create a New Incident”
5. Write complete detail of your request in “Incident Description”, and Select Priority
6. Click on Submit.
7. Service Desk staff will receive your request on-line and will respond to your request immediately. ",Provide Technical Services,8:00 AM to 4:00 PM,"Dubai: Ground Floor Wing AB, Entrance from Atrium side.
Abu Dhabi: Administration Building, Ground Floor, opposite Student Affairs.
","Dubai: Service Desk:     +971-4-4021777  Media Services:  +971-4-4021888  	 Abu Dhabi: Service Desk:     +971 2 599 3666                          Media Services: +971-2-5993888",nan
Resource Scheduler,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Resource-Scheduler,Service to book a meeting/conference rooms through online,"- Login using your ZU ID
- Choose the room
- Choose the date and time
- Request services e.g: security, cleaning, catering, ..etc
- Submit",Resource Scheduler,nan,Online,Ayesha.AlFalasi@zu.ac.ae - Fadi.Suwan@zu.ac.ae - Also from other departments ,nan
Stationary Ordering System,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Stationary-Ordering-System,Order stationery from the warehouse ,Scan the barcode of the item using the barcoding machine at the store. ,Stationary Ordering System,nan,Store – wing C,Mahamood.Challakkara@zu.ac.ae  ,nan
Student Car Registration,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Student-Car-Registration,Online service to register student/staff and faculty cars in ZU gate system,"- Login using your ZU ID
- Open: http://gatesystem.zu.ac.ae/SitePages/Home.aspx
- Click New request
- Fill the information and attachment 
- submit
",Student Car Registration,2 Working Day ,Online,CarRegistration_DXB@zu.ac.ae,nan
Student Counselling Center,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Student-Counselling-Center,"The portal contains all the electronic services of the Student Counselling Centre, such as making an appointment with a counsellor, providing an academic accommodation, registering and attending training workshops, or referral which faculty/advisors and professors can request. And in a safe and supportive environment and always taking into account their privacy. To enable them to perform at the best academic and personal level and achieve their personal and leadership goals.




","
1.	Log in to the portal
2.	Click on the preferred service (booking appointments/ accommodation/ referral /calendar of events/ upcoming events)
3.	Fill the application or form 
4.     Submit ",Student Counselling Center,The average time for receiving an appointment is approximately 24 hrs after the request is placed. ,"AUH Office- Student Counseling Center across from the Registration office
DXB Office- Student Counseling Center located in Student affairs","Abu Dhabi Campus:  
Amal Bin Alawi  
Tel: 02-5993728 /0564156060
Office: (ADM.1.107)
Email: Amal.BinAlawi@zu.ac.ae
Dubai Campus:
Sara Al Marzooq
Tel: 04-4021637/ 055-3646463  
Office: (R-GF-077)
Email: Sara.AlMarzooqi@zu.ac.ae
","Goal 3 :Promoting health and wellbeing by providing psychological services that increase self awareness, resilience, skills development, and emotional growth and wellbeing.
Goal 6: Empowering women decreasing gender inequality by empowering women through raising self awareness, purpose, direction and self-determination.
"
Student Course Registration ,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Student-Course-Registration-,Student self-registration to courses for each semester in order to have a schedule,"Your key contact person for Online Registration is your ADVISOR. Please make an appointment with your Advisor via ARM to review your planned courses and get the temporary advising hold removed so that you can register to courses. 

1. Click Start, you will be redirected to Banner Web site.
2. Click on Secure Area. 
3. Enter your ZU ID and Password to login. (Student will only be able to proceed with remaining steps based on his/her time ticket which contains the date and time for registration and can be viewed online on SAP website).  
4. Student inserts the courses he/she must register in.
5. Student submits his/her requests and gets an immediate response showing that the process was successfully completed or there is an issue with his/her course selection so he/she will do additional changes to complete the schedule.
",Student Course Registration ,22 hours,"Admissions & Registration Department at Zayed University - Abu Dhabi Campus
Admissions & Registration Department at Zayed University - Dubai Campus
",Admissions & Registration Department: Abu Dhabi: RegistrarAuh[@]zu.ac.ae Male Campus 02-5993659 / Female Campus 02-5993773 - Dubai: RegistrarDxb[@]zu.ac.ae 04-4021444,"Goal 11: Make cities inclusive, safe, resilient and sustainable.
Goal 12: Ensure sustainable consumption and production patterns.
Several sustainable development goals are embedded within the services of Registrar’s Office, ensure a quality education by providing quality services. This includes streaming our services to our students to allow them to have peace of mind and focus on their education and personal development than be burdened by administrative paperwork and making inconvenient trips to the campus. Course registration as well as requests for enrolment confirmation and attestation certificates have become web-based services significantly reducing paper waste. This in turn reduces our carbon footprint and helps mitigate the effects of climate change, and the greenhouse gas emissions associated with visiting the campus is another added environmental benefit. Together these benefits contribute to the responsible consumption and production within our institution while providing a high-quality education, and simultaneously prompting sustainable cities and communities. 

"
Student Data Modification ,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Student-Data-Modification-,Modify the student name in the system in case of typo mistake or changing name legally,"(Please before starting with this service, hand the original passport, passport copy, and court letter if needed to the Admissions & Registration Department. The Staff will verify and take the copy only)

1. Click Login
2. Use your ZU ID and password
3. Click Start
4. In case you have a comment, please write it in the comment box
5. Submit
6. Admissions & Registration Department  will modify the data in the system. 
7. Admissions & Registration Department  will send you a notification that the update is successfully done.  
",Student Data Modification ,"•	The average time for application submission: 2 working day ","Admissions & Registration Department at Zayed University - Abu Dhabi Campus
Admissions & Registration Department at Zayed University - Dubai Campus
",Admissions & Registration Department: Abu Dhabi: RegistrarAuh[@]zu.ac.ae Male Campus 02-5993659 / Female Campus 02-5993773 - Dubai: RegistrarDxb[@]zu.ac.ae 04-4021444,"Goal 11: Make cities inclusive, safe, resilient and sustainable.
Goal 12: Ensure sustainable consumption and production patterns.
Several sustainable development goals are embedded within the services of Registrar’s Office, ensure a quality education by providing quality services. This includes streaming our services to our students to allow them to have peace of mind and focus on their education and personal development than be burdened by administrative paperwork and making inconvenient trips to the campus. Course registration as well as requests for enrolment confirmation and attestation certificates have become web-based services significantly reducing paper waste. This in turn reduces our carbon footprint and helps mitigate the effects of climate change, and the greenhouse gas emissions associated with visiting the campus is another added environmental benefit. Together these benefits contribute to the responsible consumption and production within our institution while providing a high-quality education, and simultaneously prompting sustainable cities and communities. "
Temp employees & Research Assistants Hourly timesheet,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Temp-employees---Research-Assistants-Hourly-timesheet,Temp Employees / Research Assistants monthly salary,"Temp Employees /Research Assistants: 
1.User login with ZU ID and Password
2.Need to fill details requested in the form also upload the copy of the Agreement 
3.Once done with approval process
4.Bank transfer will be done to the employee’s personal bank account",Temp employees & Research Assistants Hourly timesheet,nan,Financial Resources Department,Joby.Kannampuzha@zu.ac.ae,nan
To whom it may concern summer approval letter – Digital PDF,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/To-whom-it-may-concern-summer-approval-letter---Digital-PDF,Issuing a Summer Approval Letter for students granted permission to study summer courses outside Zayed University upon the student’s request,"1. Click Login.
2. Use your ZU ID and password.
3. Click Start.
4. In case you have a comment, please write it in the comment box.
5. Submit.
6. Admissions & Registration Department will issue the Summer Approval Letter.
7. Admissions & Registration Department will send you an email with digital document 
",To whom it may concern summer approval letter – Digital PDF,• The average time for application submission: 10 minutes   • The average time to issue the certificate:  2 working days,"•	Admissions & Registration Department at Zayed University - Abu Dhabi Campus
•	Admissions & Registration Department at Zayed University - Dubai Campus
",Admissions & Registration Department: Abu Dhabi: RegistrarAuh[@]zu.ac.ae Male Campus 02-5993659 / Female Campus 02-5993773 - Dubai: RegistrarDxb[@]zu.ac.ae 04-4021444,"Goal 11: Make cities inclusive, safe, resilient and sustainable.
Goal 12: Ensure sustainable consumption and production patterns.
Several sustainable development goals are embedded within the services of Registrar’s Office, ensure a quality education by providing quality services. This includes streaming our services to our students to allow them to have peace of mind and focus on their education and personal development than be burdened by administrative paperwork and making inconvenient trips to the campus. Course registration as well as requests for enrolment confirmation and attestation certificates have become web-based services significantly reducing paper waste. This in turn reduces our carbon footprint and helps mitigate the effects of climate change, and the greenhouse gas emissions associated with visiting the campus is another added environmental benefit. Together these benefits contribute to the responsible consumption and production within our institution while providing a high-quality education, and simultaneously prompting sustainable cities and communities. 
"
Visitor Request,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Visitor-Request,You can apply online if you are expecting a visitor coming to you. ,"Once you apply online, the request goes to the security team so they will be aware of that. ",Visitor Request,One Day,Administration building – Level 1 – Campus physical development.   ,Dxb.Security[@]zu.ac.ae.,nan
Zayed University Virtual Bridge ,https://eservices.zu.ac.ae/main/Services/Servicecard/Graduate/Zayed-University-Virtual-Bridge-,"The Zayed University Virtual Bridge is an education platform that is sponsored and managed by Zayed University and which hosts short Massive Open Online Courses (MOOCs) for those wishing to advance their knowledge and career potential. The project, named after the late Sheikh Zayed Bin Sultan, is an extension of his unwavering efforts to make education available to all students and citizens in the United Arab Emirates.","Click start and you will be directed to Zayed University Virtual Bridge website.
The user need to sign up in the service.
You will find the courses in the main page.
Choose a course and enroll yourself.
Course dates is open.
Enrollment dates are open ended.
",Zayed University Virtual Bridge ,24hrs,Online only,email:  zuvb@zu.ac.ae,nan
