ServiceName,ServiceCode,GeneratedLink,Description,Procedures,TargetAudience,ServiceTime,ServiceFee,ServiceLocation,ServiceContact,SDGoals,title,name,path,keywords,ServiceUrl,IconFileUrl,DescriptionTrimmed,ServiceID
EHS incident report form,CPDS - 06,https://smartapps.zu.ac.ae/EHS/IncidentForm/Authorized,"It is form through which EHS incidents, unsafe actions and conditions can be reported. Further the reported cases will be investigated.  ",The Community can either log in through intranet or EHS mobile application at EHS section. On intranet it is available under CPDS unit tabs. ,"['7', '3', '5', '6', '8']",N/A,No fee required,Administration building – Level 1 – Campus physical development.  ,EHSCPDO@zu.ac.ae  ,,EHS incident report form,CPDS - 06,https://www.zu.ac.ae/mainhttps://smartapps.zu.ac.ae/EHS/IncidentForm/Authorized,EHS incident report form,https://eservices.zu.ac.ae/Service/en/Card/EHS-incident-report-form,https://eservices.zu.ac.ae/Content/Icons/398d91f6-b05c-44ed-8886-e80c2867bfbc.png,"It is form through which EHS incidents, unsafe actions and conditions can be reported Further the re...",43
Employee Car Registration,CPDS - 09,https://gatesystem.zu.ac.ae/SitePages/Home.aspx,Online service to register student/staff and faculty cars in ZU gate system,"- Login using your ZU ID
- Open: http://gatesystem.zu.ac.ae/SitePages/Home.aspx
- Click New request
- Fill the information and attachment 
- submit",['3'],2 working days,25 AED for 3rd and 4th cars,Online,CarRegistration_DXB@zu.ac.ae,,Employee Car Registration,CPDS - 09,https://www.zu.ac.ae/mainhttps://gatesystem.zu.ac.ae/SitePages/Home.aspx,Employee Car Registration,https://eservices.zu.ac.ae/Service/en/Card/Employee-Car-Registration,https://eservices.zu.ac.ae/Content/Icons/8477ea97-e7e8-40a0-8e34-bd7d90f1d4df.png,Online service to register student/staff and faculty cars in ZU gate system,22
Employers-Online CV Portal,SCO-E-1,http://www.zu.ac.ae/apps/CVBook/Access,An online CV Book is to help employers actively search for ZU graduates. This book represents different CVs from different majors and different batches.,"1. Click start
2. you will be redirected to online CV book system
3. Complete the online CV book request form (when you will start the service, you will see the form)
4. Click submit
5. Student Careers Office will receive automatic massage to approve the employer access
6. A password will be sent automatically to the employer
7. The employer has to log in with email address and the password
8. The employer can choose the campus (Dubai/Abu Dhabi) and the college or the degree to filter the CVs and download them 
",['6'],Immediate after approving online registration,N/A,"Zayed University - Dubai Campus, Zayed University - Abu Dhabi Campus",Hessa AlMuhairy - 04-4021445,,Employers-Online CV Portal,SCO-E-1,https://www.zu.ac.ae/mainhttp://www.zu.ac.ae/apps/CVBook/Access,Employers-Online CV Portal,https://eservices.zu.ac.ae/Service/en/Card/Employers-Online-CV-Portal,https://eservices.zu.ac.ae/Content/Icons/cf2b5e42-d760-4aae-94d8-548ef1b7a37e.png,An online CV Book is to help employers actively search for ZU graduates This book represents differe...,13
Exams Accommodation Request for Students of Determination ,SAS001,,Here faculty are able to request exam accommodations for up to 5 courses. After requests are submitted they will be reviewed and processed by an SAS staff.  ,"1. Click Login.
2. Use your ZU ID and password to login. 
3. Fill the ""Exam Accommodation Request Form"" fields.
4. Attach the exam document. 
5. Click Submit.
6. Request will be reviewed, and you will be contacted by Student Accessibility Services staff. 
",['3'],On average 5 working days from the date of submitting the request.,No Fees Required,"Abu Dhabi: Student Accessibility Services Department           
           Library, LB-01-037- 1st Floor

Dubai: Student Accessibility Services Department
       Ground Floor, 04-GF-054

",(Dubai): Mariyam.Juma@zu.ac.ae - 04 402 1258  (Abu Dhabi): Fatima.AlSaqqaf@zu.ac.ae - 02 599 3228 ,,Exams Accommodation Request for Students of Determination ,SAS001,NA,Exams Accommodation Request for Students of Determination ,https://eservices.zu.ac.ae/Service/en/Card/Exams-Accommodation-Request-for-Students-of-Determination-,https://eservices.zu.ac.ae/Content/Icons/7ae56a46-1cf2-4f00-9d1c-d8136e6f0180.png,Here faculty are able to request exam accommodations for up to 5 courses After requests are submitte...,1
Extract Academic Transcript in English Language for undergraduate students,Reg-03,,Issuing an academic transcript upon the student’s or alumni's request,"1. Click Login.
2. Use your ZU ID and password.
3. Click Start.
4. In case you have a comment, please write it in the comment box.
5. Submit.
6. You will receive automatic email with payment instructions link.
7. When you click on the link it will take you to the electronic gate system (e-dirham). You can then pay either by e-dirham or credit card. 
8. You will receive the payment confirmation invoice in your email. 
9. Finance Department and Enrollment & Registration Department will start the service. 
10. Enrollment & Registration Department will send you a notification that the document is ready for collection from the Registration Office.
","['7', '5']",•	The average time for application submission: 5 minutes        •	The average time to issue the certificate:  2 working days,AED 52.50  ,"Enrollment & Registration Department at Zayed University - Abu Dhabi Campus
Enrollment & Registration Department at Zayed University - Dubai Campus
",Enrollment & Registration Department: RegistrarAuh[@]zu.ac.ae. or RegistrarDxb[@]zu.ac.ae.,,Extract Academic Transcript in English Language for undergraduate students,Reg-03,NA,Extract Academic Transcript in English Language for undergraduate students,https://eservices.zu.ac.ae/Service/en/Card/Extract-Academic-Transcript-in-English-Language-for-undergraduate-students,https://eservices.zu.ac.ae/Content/Icons/06447b80-4a2c-4d65-a72a-f69b001d7c78.png,Issuing an academic transcript upon the student’s or alumnis request,41
Extract Academic Transcript in English Language for undergraduate students - Digital PDF,Reg-03-D,,Issuing a digital academic transcript upon the student’s or alumni's request,"
1. Click Login.
2. Use your ZU ID and password.
3. Click Start.
4. In case you have a comment, please write it in the comment box.
5. Submit.
6. Admissions & Registration Department will issue the digital academic transcript.
7. Admissions & Registration Department will send you an email with the digital academic transcript attached as a file.

","['7', '5']",The average time for application submission: 5 minutes        • The average time to issue the digital document:  2 working days,N/A,"Admissions & Registration Department at Zayed University - Abu Dhabi Campus
Admissions & Registration Department at Zayed University - Dubai Campus",Admissions & Registration Department: Abu Dhabi: RegistrarAuh[@]zu.ac.ae Male Campus 02-5993659 / Female Campus 02-5993773 -  Dubai: RegistrarDxb[@]zu.ac.ae 04-4021444,"Goal 11: Make cities inclusive, safe, resilient and sustainable.
Goal 12: Ensure sustainable consumption and production patterns.
Several sustainable development goals are embedded within the services of Registrar’s Office, ensure a quality education by providing quality services. This includes streaming our services to our students to allow them to have peace of mind and focus on their education and personal development than be burdened by administrative paperwork and making inconvenient trips to the campus. Course registration as well as requests for enrolment confirmation and attestation certificates have become web-based services significantly reducing paper waste. This in turn reduces our carbon footprint and helps mitigate the effects of climate change, and the greenhouse gas emissions associated with visiting the campus is another added environmental benefit. Together these benefits contribute to the responsible consumption and production within our institution while providing a high-quality education, and simultaneously prompting sustainable cities and communities.  
",Extract Academic Transcript in English Language for undergraduate students - Digital PDF,Reg-03-D,NA,Extract Academic Transcript in English Language for undergraduate students - Digital PDF,https://eservices.zu.ac.ae/Service/en/Card/Extract-Academic-Transcript-in-English-Language-for-undergraduate-students---Digital-PDF,https://eservices.zu.ac.ae/Content/Icons/1ed1703b-30d2-4bbe-883b-476570432936.png,Issuing a digital academic transcript upon the student’s or alumnis request,91
Financial Aid,FA-01,http://fa.zu.ac.ae/,"Zayed University provides its undergraduate students with financial support opportunities, Educational Devices and Monthly Stipends. Applicants must either have a UAE passport and family book; be a child of an Emirati mother; or be Marsoom funded (Residency Type). Those opportunities are exclusively focused on supporting students whose financial conditions may prevent them from continuing their higher education. The Student Support Unit receives applications and ensures that any support provided is in compliance with the University’s policy and procedures. Financial support decisions are taken according to availability of resources.

There are two kinds of aid provided:

Monthly Stipends Aid (for transportation/meals, ...etc.)
Educational Devices Aid (laptops and tablets)","1- Click on ""Start This Service "" button.
2- You will be redirected to ""Smart Financial Aid Application"".
3- Read the guide on how to apply
4- Apply for aid. 
",['7'],From 4 to 5 Weeks,N/A,"All Applications must be submitted through ""Smart Financial Aid Application"". Click on ""Start This Service"" button to redirected to the Smart Financial Aid Application.
","All inquires regarding your applications must be submitted through this link:
https://fa.zu.ac.ae/Enquiries/EnquirySurvey?f=1

For general Inquiries please contact Saeea Alktbee on Sareea.Alktbee@zu.ac.ae",Financial aid services provided by Zayed University ensures inclusivity and equitable quality education and ensure lifelong learning opportunities for students who come from low-income family.,Financial Aid,FA-01,https://www.zu.ac.ae/mainhttp://fa.zu.ac.ae/,Financial Aid,https://eservices.zu.ac.ae/Service/en/Card/Financial-Aid,https://eservices.zu.ac.ae/Content/Icons/558b32cd-1267-4900-9660-4683f4e75007.png,"Zayed University provides its undergraduate students with financial support opportunities, Education...",88
Graduate Career Counselling,SCO-SG-1,,"Provide career awareness and coaching to fresh graduates on career decisions, and development of essential career related skills. ","
1. Login   
2. Sign In with your ZU ID and password   
3. Start the E-Service   
4. Fill in the counselling form for your preferred date/time    
5. Submit   
6. Get Confirmation on the Date/Time by Email 
7. Meet with the Career counselor in the Student Careers and Alumni Department ",['5'],Services provided within one working day,N/A,Zayed University - Dubai Campus Zayed University - Abu-Dhabi Campus,AUH - Rawdha.AlSaiqal@zu.ac.ae ; DXB - Ahlam.AlShehhi@zu.ac.ae,,Graduate Career Counselling,SCO-SG-1,NA,Graduate Career Counselling,https://eservices.zu.ac.ae/Service/en/Card/Graduate-Career-Counselling,https://eservices.zu.ac.ae/Content/Icons/40490dda-620e-4b2f-82a7-c60783fcb2ec.png,"Provide career awareness and coaching to fresh graduates on career decisions, and development of ess...",8
Individual Educational Plan (IEP),SAS001,,"The Student Accessibility Services Department (SAS) offers Individualized Educational Plans (IEP) which are developed for students with Learning Difficulties to enhance their educational skills, enabling them to achieve their academic goals.","1. Click Login. 
2. Use your ZU ID and password to login. 
3. Fill the "" Individualized Educational Program Request Form"" fields. 
5. Click Submit. 
6. Your request will be reviewed, and you will be contacted by Student Accessibility Services staff. 
",['7'],On average 3 working days from the date of submitting the request.,No Fees Required,"Abu Dhabi: Student Accessibility Services Department           
           Library, LB-01-037- 1st Floor

Dubai: Student Accessibility Services Department
       Ground Floor, 04-GF-054","Rukiya.Deetjen@zu.ac.ae, Serene.AbuDaiyeh@zu.ac.ae,  Marjorie.Daniel@zu.ac.ae, Kholoud.AlAbdallah@zu.ac.ae ",,Individual Educational Plan (IEP),SAS001,NA,Individual Educational Plan (IEP),https://eservices.zu.ac.ae/Service/en/Card/Individual-Educational-Plan--IEP-,https://eservices.zu.ac.ae/Content/Icons/0551f7e5-b91b-49e5-9ba0-34c17897c523.png,The Student Accessibility Services Department (SAS) offers Individualized Educational Plans (IEP) wh...,82
"Issue "" to Whom It May Concern"" certificates (Study Continuation)",Reg-01,,Issuing “To Whom It May Concern” certificate (study continuation) upon the student’s request to certify he/she is a student at ZU,"1. Click Login
2. Use your ZU ID and password
3. Click Start
4. In case you have a comment, please write it in the comment box
5. Submit
6. Enrollment & Registration Department will issue the certificate
7. Enrollment & Registration Department will send you a notification that the document is ready for collection from the Enrollment & Registration Department ",['7'],•The average time for application submission: 5 minutes     •	The average time to issue the document:  2 working days,N/A,"Enrollment & Registration Department at Zayed University - Abu Dhabi Campus
Enrollment & Registration Department at Zayed University - Dubai Campus ",Enrollment & Registration Department: RegistrarAuh[@]zu.ac.ae. or RegistrarDxb[@]zu.ac.ae.,,"Issue "" to Whom It May Concern"" certificates (Study Continuation)",Reg-01,NA,"Issue "" to Whom It May Concern"" certificates (Study Continuation)",https://eservices.zu.ac.ae/Service/en/Card/Issue---to-Whom-It-May-Concern--certificates--Study-Continuation-,https://eservices.zu.ac.ae/Content/Icons/ebb0e020-2865-4499-9254-3d0ddb0e0a9c.png,Issuing “To Whom It May Concern” certificate (study continuation) upon the student’s request to cert...,18
"Issue "" to Whom It May Concern"" certificates (Study Continuation) - Digital PDF",Reg-01-D,,Issuing “To Whom It May Concern” digital certificate (study continuation) upon the student’s request to certify he/she is a student at ZU.,"1. Click Login
2. Use your ZU ID and password
3. Click Start
4. In case you have a comment, please write it in the comment box
5. Submit
6. Admissions & Registration Department will issue the digital certificate
7. Admissions & Registration Department will send you an email with digital “To Whom It May
Concern” certificate attached as a file",['7'],- The average time for application submission: 5 minutes - The average time to issue the digital document: 2 working days,N/A,"Admissions & Registration Department at Zayed University - Abu Dhabi Campus
Admissions & Registration Department at Zayed University - Dubai Campus ",Admissions & Registration Department: Abu Dhabi: RegistrarAuh[@]zu.ac.ae Male Campus 02-5993659 / Female Campus 02-5993773 -  Dubai: RegistrarDxb[@]zu.ac.ae 04-4021444,"Goal 11: Make cities inclusive, safe, resilient and sustainable.
Goal 12: Ensure sustainable consumption and production patterns.
Several sustainable development goals are embedded within the services of Registrar’s Office, ensure a quality education by providing quality services. This includes streaming our services to our students to allow them to have peace of mind and focus on their education and personal development than be burdened by administrative paperwork and making inconvenient trips to the campus. Course registration as well as requests for enrolment confirmation and attestation certificates have become web-based services significantly reducing paper waste. This in turn reduces our carbon footprint and helps mitigate the effects of climate change, and the greenhouse gas emissions associated with visiting the campus is another added environmental benefit. Together these benefits contribute to the responsible consumption and production within our institution while providing a high-quality education, and simultaneously prompting sustainable cities and communities.

","Issue "" to Whom It May Concern"" certificates (Study Continuation) - Digital PDF",Reg-01-D,NA,"Issue "" to Whom It May Concern"" certificates (Study Continuation) - Digital PDF",https://eservices.zu.ac.ae/Service/en/Card/Issue---to-Whom-It-May-Concern--certificates--Study-Continuation----Digital-PDF,https://eservices.zu.ac.ae/Content/Icons/9683c915-1b6f-49d3-b8e5-edd0438ad193.png,Issuing “To Whom It May Concern” digital certificate (study continuation) upon the student’s request...,93
Issue a Certificate of Attestation – Digital PDF,Reg-11-D,,Issuing a certificate of attestation upon the alumni's request,"1. Click Login
2. Use your ZU ID and password
3. Click Start
4. In case you have a comment, please write it in the comment box
5. Submit
6. Admissions & Registration Department will issue the digital certificate
7. Admissions & Registration Department will send you an email with digital document
",['5'],• The average time for application submission: 10 minutes          •	The average time to issue the certificate:  2 working days,No fee required,"• Admissions & Registration Department at Zayed University - Abu Dhabi Campus
• Admissions & Registration Department at Zayed University - Dubai Campus
",Admissions & Registration Department: Abu Dhabi: RegistrarAuh[@]zu.ac.ae Male Campus 02-5993659 / Female Campus 02-5993773 - Dubai: RegistrarDxb[@]zu.ac.ae 04-4021444,"Goal 11: Make cities inclusive, safe, resilient and sustainable.
Goal 12: Ensure sustainable consumption and production patterns.
Several sustainable development goals are embedded within the services of Registrar’s Office, ensure a quality education by providing quality services. This includes streaming our services to our students to allow them to have peace of mind and focus on their education and personal development than be burdened by administrative paperwork and making inconvenient trips to the campus. Course registration as well as requests for enrolment confirmation and attestation certificates have become web-based services significantly reducing paper waste. This in turn reduces our carbon footprint and helps mitigate the effects of climate change, and the greenhouse gas emissions associated with visiting the campus is another added environmental benefit. Together these benefits contribute to the responsible consumption and production within our institution while providing a high-quality education, and simultaneously prompting sustainable cities and communities.  

",Issue a Certificate of Attestation – Digital PDF,Reg-11-D,NA,Issue a Certificate of Attestation – Digital PDF,https://eservices.zu.ac.ae/Service/en/Card/Issue-a-Certificate-of-Attestation---Digital-PDF,https://eservices.zu.ac.ae/Content/Icons/66f4fd56-b93f-4ea4-8304-ba36efed434d.png,Issuing a certificate of attestation upon the alumnis request,65
